Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
41,,,집…가실래요? 제가 일 할게요…,무슨일이세요?,3,-2,넵! 감사합니다! 먼저 갈게요~!,별일…아녜요…,15,14
42,5,하아... 할수도 있지… 뭐… 후…,,,,,,,,
43,,,요즘 모바일 게임 재밌는게 나왔다는데…,Cut Head라는 모바일 게임 해보셨어요?,5,5,혹시…컷헤드요? 해보셨어요? 진짜 재밌거든요!,"아이, 당연히 해봤죠! 정말 재밌는 갓겜!!",15,15
44,5,아이씨…망할 부장…,,,,,,,,
45,,,부장님이 또 뭐 시키셨어요?,혹시 게임하고 계세요?,5,5,"아, 이번에 컷헤드라는 모바일 게임이 나와서 하는중인데 재밌어요!","아, 이번에 컷헤드라는 모바일 게임이 나와서 하는중인데 재밌어요!",15,15
46,5,일 잘 되가요…? 대신 해줄까요?,,,,,,,,
47,,,"엥, 무슨 일 이세요?",이 부분만 조금 도와주세요!,3,2,"일이라도 잘 해서 보너스 받으면, 아내가 게임기 돌려주지 않을까 해서…","넵, 바로 갑니다!",15,15
48,5,세모…쿨…네모…동그라미…쿨…엑스...,,,,,,,,
49,,,"슈슉, 파팡! 퍽 퍽 으악!",잠꼬대 하지 말고 일하세요!,7,-3,히히…다…죽어라…쿨……,허억 네!,15,14
50,5,인턴씨 부탁이 있는데… 아니 아니 일은 아니고!,,,,,,,,
51,,물건좀 대신 받아줄 수 있어?,,,,,,,,
52,,,네! 가능하죠.,제가 그날은 바빠서요!,9,-7,내 플스를 파는거처럼 얘기 할테니 보관좀 해줘요…,언젠지 아직 말도 안했어요..,15,14
53,6,아이고…삭신이 아파라….,,,,,,,,
54,,,요즘 힘들어 보이시네요.. 괜찮으세요?,운동을 안하셔서 그래요! 사장님!!,5,-3,걱정해줘서 고마워요!,으아! 잘못했어요!!!,15,14
55,6,왜 이렇게 몸이 안좋지… 설마…?,,,,,,,,
56,,,컷 헤드 부작용은 아니겠죠…?,근손실이 오셨네요..! 청소부님!!!,-8,-3,에이.. 설마요.,으아!! 진짜로 잘못했어요!!!,14,14
57,6,곧 이사 가는데 집들이 오실래요?,,,,,,,,
58,,,"헐, 제가 가도 될까요?",헬스용품 사다 드릴게요!,12,8,당연하죠!! 꼭 와주세요!!,아…네…감사해요…,15,15
59,6,제 커피좀 사다주실래요…? 카페인 센걸로…,,,,,,,,
60,,,피곤할수록 카페인 드시면 안돼요.. 비타카스 드세요!,이거 마시시면 아예 잠을 못자실거에요!,13,6,헉…진짜로 감사해요…,감사해요!,15,15
61,7,휴우 조금 안심이 되네요,,,,,,,,
62,,,뭐가요?,아 컷헤드 때문에요?,5,-3,비 새는게 덜하는거 같아서요,무슨 말을 하시는거에요?,15,14
63,7,부실 공사 신고는 못할까요?,,,,,,,,
64,,,가능하지 않을까요?,에이 왜요?,6,-3,그런가…,비가 너무 많이 새요 스트레스 받아,15,14
65,7,비 좀 그만 왔으면 좋겠어요,,,,,,,,
66,,,그러게요 너무 찝찝해요,나름대로 운치있지 않아요?,5,-8,으으,대체 뭐가 운치있어요?,15,14
67,8,당분간 일찍 집 가봐야 할거 같은데 도와줄 수 있어요?,,,,,,,,
68,,,네 당연하죠,아 저도 일이 많은데,15,-10,진짜 진짜 고마워요,진짜 급한데 아 알았어요!,15,14
69,8,요즘 어떤 노래가 좋죠?,,,,,,,,
70,,,태교 음악 들으셔야죠~,발라드가 아닐까요?,8,6,농담도 센스있네요,흠 그러면 발라드쪽으로 들어야겠네요,15,15
71,8,인턴씨~,,,,,,,,
72,,,아 대리님! 축하드려요~,네?,18,4,고마워요 인턴씨 ㅎㅎ ,저 대신 이것 좀 해주세요 급해요,15,15
