Game_Progress,Char_Num,Text,,
5,4,오히려 신문를 보고 시술에 만족을 하는 듯 보인다. 똑같이 생긴 정장을 하나 더 마련해서 너그러운 편으로 변했다.,,
5,5,아내에게 게임기를 뺏겨서 기분이 매우 안 좋다. 그러게 적당히 하지..,,
5,6,혐오범죄는 자신과 상관없다고 생각하고 근래의 신문은 안 챙겨본다. 그래서 아무말만 하는듯,,
5,7,헬스장이 잠시 닫아서 슬프다. 근처 동네 공원에서 운동을 한다고 한다.,,
6,1,머리를 자르지 않은 사람들에 대한 호기심이 가득해 보인다. 이해를 할 수 없다고 말하지만 사실은 그 사람들과 대화해 보고 싶어한다.,,
6,2,생각보다 주식에서 발을 빨리 때서 조금의 이득은 있었다고 한다. 한동안 기분이 좋을 예정이다.,,
6,3,딸이 해코지 당할까봐 불안해하고 있다. 회사를 그만두고 딸을 집에서 공부시킬까 고민 중이다.,,
6,4,문제점이 점점 들어난다며 좋아하고 있다. 사실 컷 헤드 개발자의 동생이 못생겼다며 헤어지자고한 전 남자친구라고 한다.,,
6,5,이사를 갈 예정이라고 한다. 많이 지쳐보인다. 위로의 말을 전해주면 기뻐할 듯하다.,,
6,6,그저 페스티벌이라 생각하며 좋아하고 있다. 페스티벌 보단 대규모의 시위가 일어날거 같다.,,
6,7,4주년 행사 준비를 해야해서 바쁘다며 말을 잘 걸지 않는다.,,
7,1,나라에서 일을 한다며 좋아한다. 다시 컷헤드 주식 회사도 원만한 운영을 할 수 있게 되서 더욱 분발하려고 직원들을 굴린다.,,
7,2,주식을 괜히 뺐다고 후회하고 있다. 하지만 더 이상 그쪽 분야에 손을 대지 않으려고 한다.,,
7,3,그나마 안심이 되는 듯 불안해 보이는 모습이 덜 보인다. 이제 일에 집중하는거 같으니 책 잡히지 않도록 조심할것,,
7,4,머리 복구 수술을 찾아보는 듯하다. 아직까지는 복구 시술은 불법인데 관심이 생긴것 같다.,,
7,5,이사 간 집에서 물이 샌다고 불만을 말했다. 하지만 마음엔 드는 듯하다. 기분이 좋아보인다.,,
7,6,갑자기 우울해한다. 더 이상 장난을 치지도 않고 일만 한다. 말을 걸지도 않는 상태이다.,,
7,7,좋은일이 있는지 매일 같이 칼퇴근을 한다. 부러워하지말고 일해!,,
8,1,걱정했던 친구에게 배신을 당했는지 매우 화나 보인다. 저번에는 시위도 간듯하다. 갔다는 사실을 숨기고 싶어하는거 같다.,,
8,2,다이어트를 다짐하는 것 같다. 평소에 주입하던 달달한 주사들을 모두 가져다 버린다고 했다.,,
8,3,농담도 치고 장난도 거는걸 보니 완전히 회복한 것 같다. 이제 다시 그 노잼 드립을 들어야한다니 짜증난다.,,
8,4,최근 남자친구가 생겼는지 기분이 좋아 보인다. 휴대폰 배경 화면을 숨기는거 보니 비밀로 하고 싶은거 같다.,,
8,5,아내가 임신했다고 한다. 둘째인데 내심 아들이길 바라는 것 같다. 축하해주자!,,
8,6,우울해하다가 기뻐하다가 감정이 왔다갔다한다. 하지만 장난을 멈추진 않는다. 말 더듬는 것도 어느정도 고쳐졌으니 헷갈릴 수 밖에 없을거 같다.,,
8,7,좋아하던 아이돌이 그룹이 해체 했다는 소식을 듣고 매일 기분이 바닥이다. 화나게 하면 전체 평판에 문제가 생길 수도 있다.,,
9,1,친구와 화해를 한듯하다 더욱 돈독해진 듯 연락을 자주해서 회사 일에 신경을 안 쓰기 때문에 딱히 당신과는 상관 없다.,,
9,2,주사기 봉투가 그대로인걸보니 실패한 것 같다. 웃어 넘기는걸 보니 한두번 포기한게 아닌 듯,,
9,3,딸을 다시 학교에 보낸다며 좋아한다. 이로 인해서 일을 더 많이 떠넘길 것 같다.,,
9,4,행복해보인다. 반려동물을 입양하려는 듯하다. 유기견 관련 사이트를 자주 보다가 사장에게 혼이 났다.,,
9,5,아이는 아들이였다고한다. 딸 한명과 아들 한명 바라왔던 이상적인 성비에 기분이 매우 좋아보인다.,,
9,6,회사에는 착실히 나오지만 우울한지 말을 잘 걸지 않는다. 한번쯤은 속아주는 것도 나쁘지 않을 것 같다.,,
9,7,아이돌 그룹이 다시 모이기 위해 기부금을 모으자 약 2000만원 정도 기부한걸로 알고 있다. 아이돌 그룹 관련된 얘기에 맞장구 쳐줘라,,
10,1,친구를 손절한 듯하다. 그냥 회사에 집중하고 인력을 키우기 위해 노력하고 있다.,,
10,2,사실 컷헤드는 자신이 하고 싶어서 한거라고 전에 말했었다. 그랬는데 이럴 줄 알았다며 시술을 신고해서 돈을 얻을 준비를 하고 있다. ,,
10,3,잠시나마 시술을 시킬 생각을 한 자신을 자책하고 후회하는 듯 보였다. 그래도 시술을 안해서 다행이다에 의의를 두는 것 같다.,,
10,4,머리 복구 수술이 곧 합법화된다는 기대감을 품고 있다. 남자친구와 강아지가 함께 사는 듯 하다. 역시 칼퇴근 하는 데엔 이유가 다 있었구만,,
10,5,부작용이 가족에게 미치진 않을까 걱정을 하고 있는 줄 알았는데 사실은 비상금을 들킬까봐 무서워하는거였다. 잘 숨겼기를 바래줘라,,
10,6,본래의 성격으로 돌아와서 다시 장난기가 돌아왔다 다행인지 불행인지는 모르겠다. 일만 열심히 하면 되는거지,,
10,7,왠지 모르게 화나 있다. 이유를 알려고 하면 다친다 그러니까 한마디로 조심하는게 좋다.,,
11,1,친구를 손절한 것을 후회하는 듯 하다. 돈 때문인 것 같긴한데 본인 말로는 아니라한다.,,
11,2,신고를 못해서 아쉬워했다. 회사에 좀 더 집중을 하려고 노력한다. 꿈꾸는 김부장 파이팅!,,
11,3,컷 헤드 자체에 관심을 가지지 않으려한다. 농담을 하는 횟수가 늘어났고 진지한 얘기를 피한다.,,
11,4,복구 수술 합법화가 취소되서 아쉬움을 매일같이 표현하고 있다. 말투나 행동 모든 것에서 아쉬워요라 말하는 것처럼 느껴진다.,,
11,5,아내에게서 게임기를 돌려받아서인지는 몰라도 신혼으로 돌아간 듯이 열심히 일하고 퇴근하고를 반복하고 있다.,,
11,6,어느 순간부터 특정 사람만을 따라하고 있다. 왠만한 직원들과 말투가 똑같으니 약간의 실수를 간파해야한다.,,
11,7,화난 이유는 기부한 돈으로는 다시 아이돌 그룹을 재결성 시키기 부족하기 때문이었다. 불쌍해…,,
12,1,갑작스레 사라진 신문에 의구심을 가졌으나 딱히 관심을 가지고 표현하지는 않았다. 최근 안경의 도수가 높아졌다.,,
12,2,과도 비만으로 수술을 통해 지방 흡입을 하고 복구 수술도 알아보고 있다. 하지만 바뀐건 없어보인다. 운동을 잘 안해서 그런가?,,
12,3,평소와 다름 없다. 딸이 많이 자라서 사춘기가 왔다는 것 정도? 예전보다 훨씬 피곤해 보인다.,,
12,4,기분 좋게 일을 하고 있다. 결혼을 약속한 듯하다. 전 남자친구에게 연락이 왔는데 그냥 안 읽고 씹었다며 자랑했다.,,
12,5,전세 집 만료기간도 됬고 아이들도 많이 컸기 때문에 이사를 간다고한다. 특히 왈왈 이삿집 센터를 선호한다.,,
12,6,회사에서 유일하게 발간 중지에 관심을 가지고 있는 사람이다. 이것만 기억해도 절반은 간다.,,
12,7,아픔을 이겨내고자 운동을 더 열심히 하는거 같다. 이제 곧 3대 500도 칠것 같다.,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
